sex,elevation,age_banded,bill_depth,bill_culmen,mass,tarsus1,wing_r
F,mid,AHY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,AHY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,AHY,-99.99,-99.99,9.8,-99.99,-99.99
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,3.1,8.9,12.2,-99.99,60
M,mid,ASY,-99.99,-99.99,10,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,10,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,9.5,-99.99,64
M,mid,SY,-99.99,-99.99,10,-99.99,-99.99
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,SY,-99.99,-99.99,11,-99.99,65
M,mid,AHY,-99.99,-99.99,9.8,-99.99,-99.99
M,mid,AHY,-99.99,-99.99,9.5,-99.99,63.5
M,mid,AHY,-99.99,-99.99,10.2,-99.99,63.5
M,mid,ASY,-99.99,-99.99,9.6,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,10.5,-99.99,-99.99
F,mid,SY,-99.99,-99.99,10.4,-99.99,-99.99
F,mid,SY,-99.99,-99.99,10.3,-99.99,-99.99
F,mid,SY,-99.99,-99.99,9.8,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9,-99.99,-99.99
F,mid,SY,-99.99,-99.99,9.7,-99.99,-99.99
F,mid,SY,-99.99,-99.99,11.1,-99.99,60.5
M,mid,ASY,-99.99,-99.99,9.5,-99.99,63
F,low,AHY,2.88,11,9.8,19.29,60.52
F,mid,SY,2.89,9.63,11.3,19.1,59.3
F,low,ASY,2.81,9.62,11,-99.99,61.49
M,mid,SY,-99.99,-99.99,9.3,-99.99,62
M,mid,SY,-99.99,-99.99,9.1,-99.99,62
M,mid,SY,-99.99,-99.99,9.5,-99.99,63
M,mid,SY,-99.99,-99.99,10,-99.99,64
F,mid,SY,-99.99,-99.99,10.2,-99.99,62
M,mid,ASY,-99.99,-99.99,10,-99.99,-99.99
F,mid,SY,-99.99,-99.99,12.8,-99.99,61
F,mid,SY,-99.99,-99.99,10,-99.99,-99.99
F,mid,SY,-99.99,-99.99,10.2,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.8,-99.99,-99.99
F,mid,SY,-99.99,-99.99,9.9,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.8,-99.99,-99.99
F,mid,SY,-99.99,-99.99,9.9,-99.99,61.5
F,mid,SY,-99.99,-99.99,11.1,-99.99,59
F,mid,ASY,-99.99,-99.99,11.5,-99.99,60
M,mid,ASY,-99.99,-99.99,9.5,-99.99,63
F,mid,SY,-99.99,-99.99,10,-99.99,58
F,mid,SY,-99.99,-99.99,9.8,-99.99,-99.99
F,mid,SY,-99.99,-99.99,10.5,-99.99,59
F,mid,SY,-99.99,-99.99,10,-99.99,59
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,-99.99,-99.99,10,-99.99,59.5
F,mid,SY,-99.99,-99.99,11.5,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,-99.99,-99.99,64
M,mid,ASY,-99.99,-99.99,-99.99,-99.99,64.5
M,mid,SY,-99.99,-99.99,10.3,-99.99,63
F,mid,AHY,-99.99,-99.99,9.7,-99.99,59
M,mid,SY,-99.99,-99.99,8.8,-99.99,-99.99
F,mid,SY,-99.99,-99.99,10.2,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,11,-99.99,60
M,mid,SY,-99.99,-99.99,9.2,-99.99,65
M,mid,SY,-99.99,-99.99,9.4,-99.99,62
F,mid,SY,-99.99,-99.99,9.7,-99.99,61
M,mid,SY,-99.99,-99.99,9.5,-99.99,63.5
M,mid,SY,-99.99,-99.99,10.1,-99.99,62
F,mid,ASY,-99.99,-99.99,10.1,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,9.6,-99.99,59
M,mid,SY,-99.99,-99.99,9.3,-99.99,61
F,mid,ASY,-99.99,-99.99,9.5,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.2,-99.99,-99.99
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,SY,-99.99,-99.99,-99.99,-99.99,64
F,mid,AHY,-99.99,-99.99,9.7,-99.99,58
M,mid,ASY,-99.99,-99.99,9.8,-99.99,64.5
F,mid,AHY,-99.99,-99.99,10.8,-99.99,-99.99
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,10.2,-99.99,-99.99
F,mid,AHY,-99.99,-99.99,10.1,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,10,-99.99,64.5
F,mid,AHY,-99.99,-99.99,9.9,-99.99,-99.99
F,mid,AHY,-99.99,-99.99,10,-99.99,59
F,mid,AHY,-99.99,-99.99,10.3,-99.99,60
F,mid,AHY,-99.99,-99.99,9.6,-99.99,60
F,mid,AHY,-99.99,-99.99,10.8,-99.99,60
F,mid,AHY,-99.99,-99.99,9.5,-99.99,59
M,mid,SY,-99.99,-99.99,8.6,-99.99,64
M,mid,SY,-99.99,-99.99,9.5,-99.99,64
M,mid,SY,-99.99,-99.99,9.5,-99.99,65
M,mid,ASY,-99.99,8.9,10.5,-99.99,64
M,mid,SY,-99.99,-99.99,10,-99.99,64
M,mid,SY,-99.99,-99.99,10,-99.99,65
F,mid,AHY,-99.99,-99.99,10,-99.99,62.5
F,mid,AHY,-99.99,-99.99,9.6,-99.99,60
M,mid,SY,-99.99,-99.99,10,-99.99,63.5
F,mid,AHY,-99.99,-99.99,11,-99.99,60
M,mid,SY,-99.99,-99.99,9.5,-99.99,64
M,mid,SY,-99.99,-99.99,-99.99,-99.99,65
M,mid,ASY,-99.99,-99.99,-99.99,-99.99,66
F,mid,AHY,-99.99,-99.99,10.7,-99.99,62
F,mid,AHY,-99.99,-99.99,10.5,-99.99,58.5
M,mid,ASY,-99.99,-99.99,9.5,-99.99,63.5
F,mid,AHY,-99.99,-99.99,10.3,-99.99,61.5
F,mid,AHY,-99.99,-99.99,9.5,-99.99,59.5
F,mid,AHY,-99.99,-99.99,9.5,-99.99,59.5
F,mid,AHY,-99.99,-99.99,10.5,-99.99,60
M,mid,SY,-99.99,-99.99,9.5,-99.99,61
F,mid,SY,-99.99,-99.99,-99.99,-99.99,60.5
M,mid,ASY,-99.99,-99.99,-99.99,-99.99,64
M,mid,ASY,-99.99,-99.99,10,-99.99,64
M,mid,ASY,2.9,9.7,10.4,-99.99,63.5
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,SY,3.1,8.8,9.6,-99.99,62
M,mid,SY,2.8,9.1,9.1,-99.99,62
M,mid,ASY,3.2,8.65,10,-99.99,65
M,mid,ASY,2.8,9.3,9.8,18.2,64
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,AHY,-99.99,-99.99,10.9,-99.99,60
F,mid,SY,-99.99,-99.99,10.3,-99.99,59.9
F,mid,AHY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,10,-99.99,67.5
M,mid,ASY,-99.99,-99.99,9.8,-99.99,67
M,mid,ASY,3,8,9.5,18.8,65
F,mid,ASY,-99.99,-99.99,10.5,-99.99,63
F,mid,ASY,2.8,11,10,20.1,61
M,mid,SY,-99.99,-99.99,10.5,-99.99,65
F,mid,SY,-99.99,-99.99,11,-99.99,67
F,mid,ASY,-99.99,-99.99,11.5,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,9.8,-99.99,64.5
F,mid,SY,-99.99,-99.99,10.9,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.5,-99.99,63
M,mid,ASY,-99.99,-99.99,10.1,-99.99,66.5
M,mid,ASY,-99.99,-99.99,9.7,-99.99,64.5
M,mid,SY,-99.99,-99.99,10.75,-99.99,65.5
F,mid,SY,-99.99,-99.99,10.2,-99.99,63
F,mid,ASY,-99.99,-99.99,9.6,-99.99,65.5
M,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.5,-99.99,65
F,mid,ASY,-99.99,-99.99,9.1,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.3,-99.99,65
F,mid,ASY,-99.99,-99.99,9,-99.99,61.5
M,mid,SY,-99.99,-99.99,9.5,-99.99,63
M,mid,SY,-99.99,-99.99,9.9,-99.99,63
M,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
M,mid,ASY,-99.99,-99.99,-99.99,-99.99,61
F,mid,ASY,-99.99,-99.99,11,-99.99,61.5
F,mid,ASY,-99.99,-99.99,11.1,-99.99,60
F,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,2.9,8.6,11,-99.99,63
F,mid,ASY,-99.99,-99.99,9.8,-99.99,60
F,mid,ASY,-99.99,-99.99,9.6,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,11.9,-99.99,59
M,mid,ASY,-99.99,-99.99,9.7,-99.99,66
M,mid,ASY,-99.99,-99.99,9.4,-99.99,63
F,mid,SY,-99.99,-99.99,9.9,-99.99,61.5
F,mid,ASY,-99.99,-99.99,-99.99,-99.99,60
F,mid,SY,-99.99,-99.99,-99.99,-99.99,60.5
F,mid,ASY,-99.99,-99.99,-99.99,-99.99,59.9
F,mid,SY,3,8.7,10.5,18.6,64
F,mid,ASY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,11,-99.99,61.5
F,mid,SY,-99.99,-99.99,10.5,-99.99,61
F,mid,SY,3.1,9.6,11,-99.99,60
F,mid,ASY,-99.99,-99.99,9.5,-99.99,62
F,mid,ASY,-99.99,-99.99,10,-99.99,61.5
F,mid,ASY,-99.99,-99.99,9.1,-99.99,61.5
F,mid,ASY,-99.99,-99.99,11.5,-99.99,61
F,mid,ASY,2.7,8.9,10.5,18.4,60
M,mid,SY,2.8,9.8,9,-99.99,66
M,mid,SY,2.9,9.2,10,-99.99,63
M,mid,SY,-99.99,-99.99,10.5,19.65,62.99
M,mid,ASY,2.9,9.5,9.1,-99.99,63
M,mid,SY,2.9,10,8.7,-99.99,65
M,mid,SY,3.08,10.02,10.1,19.52,64.46
M,mid,SY,-99.99,-99.99,-99.99,-99.99,62.08
M,mid,SY,-99.99,-99.99,10.1,19.48,62.99
M,mid,SY,3,9.3,9.5,-99.99,62
M,mid,SY,2.95,9.72,10,19.94,62.3
M,mid,SY,2.94,9.91,9.9,19.8,62.93
M,mid,SY,-99.99,-99.99,10,20.32,62.1
F,mid,SY,2.9,9.3,11.3,-99.99,62
F,mid,SY,-99.99,-99.99,9.7,18.89,59.7
F,mid,AHY,2.9,9.4,10.2,-99.99,57
F,mid,AHY,2.9,9.4,11.1,-99.99,62
F,mid,SY,3,10.3,10.7,-99.99,59.5
F,mid,ASY,3,10.4,11.2,-99.99,59
